book_id,book_title,author,format,publication_year,publication_date,num_pages_final,num_ratings,num_reviews,average_rating,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,ratings_total_from_dist,main_genre,genres_list_clean,num_pages_fill_source,genres_mapped_clean
32324555,The Empty Grave,Jonathan Stroud,"['448 pages, ebook']",2017.0,2017-09-12,448.0,22902,3099,4.62,22,93,1051,6341,15395,22902,fantasy,"fantasy,young adult,horror,mystery,paranormal,middle grade",existing_or_parsed,"fantasy, adult fiction, horror, mystery & crime, paranormal & supernatural, children & pre-teens"
32454770,I'm With You,Allie Frost,"['382 pages, Paperback']",2016.0,,382.0,373,13,4.24,1,3,37,195,137,373,young adult,"young adult,fantasy,adventure,new adult,adult,science fiction fantasy",existing_or_parsed,"adult fiction, fantasy, adventure, science fiction"
32491710,Dogger,Shirley Hughes,"['32 pages, Paperback']",1977.0,1977-01-01,32.0,5909,228,4.32,77,186,841,1484,3321,5909,picture books,"picture books,childrens,family,classics,animals,school",existing_or_parsed,"children & pre-teens, philosophy & education & personal development, classics, animals / nature, school life"
32493342,Esper Files,Egan Brass,['Paperback'],2016.0,,389.0,109,58,3.92,2,12,19,36,40,109,steampunk,"steampunk,paranormal,fantasy,historical fiction,science fiction,young adult,supernatural",genre_median,"science fiction, paranormal & supernatural, fantasy, historical fiction, adult fiction"
32505753,Ash Princess,Laura Sebastian,"['432 pages, Hardcover']",2018.0,2018-04-24,432.0,67945,7019,3.87,1215,3890,16528,27192,19120,67945,fantasy,"fantasy,young adult,romance,young adult fantasy,magic,high fantasy",existing_or_parsed,"fantasy, adult fiction, romance, paranormal & supernatural"
32571395,One of Us Is Lying,Karen M. McManus,"['360 pages, Kindle Edition']",2017.0,2017-05-30,360.0,856936,69874,3.94,13685,44332,188508,346649,263762,856936,mystery,"mystery,young adult,thriller,contemporary,mystery thriller,romance",existing_or_parsed,"mystery & crime, adult fiction, contemporary & slice of life, romance"
32703696,The Gray House,Mariam Petrosyan,"['736 pages, Kindle Edition']",2009.0,2009-11-01,736.0,8382,951,4.25,348,501,882,1656,4995,8382,fantasy,"fantasy,magical realism,russia,young adult,russian literature,disability",existing_or_parsed,"fantasy, paranormal & supernatural, world literature, adult fiction, literature & classics, psychology & mental health"
32718027,The City of Brass,S.A. Chakraborty,"['532 pages, Hardcover']",2017.0,2017-11-14,532.0,121600,17724,4.15,1346,4251,18154,48896,48953,121600,fantasy,"fantasy,historical fiction,young adult,adult,historical,magic",existing_or_parsed,"fantasy, historical fiction, adult fiction, historical, paranormal & supernatural"
32732574,Crash and Burn,James Rollins,"['54 pages, Kindle Edition']",2016.0,2016-11-15,54.0,2882,143,3.98,32,116,669,1118,947,2882,thriller,"thriller,adventure,action,mystery thriller,mystery",existing_or_parsed,"mystery & crime, adventure, action"
32758901,All Systems Red,Martha Wells,"['144 pages, ebook']",2017.0,2017-05-02,144.0,241863,27667,4.15,1676,6270,38712,102345,92860,241863,science fiction,"science fiction,novella,adult,fantasy,science fiction fantasy,space",existing_or_parsed,"science fiction, other / niche, adult fiction, fantasy"
